Observacion_Positiva;Observacion_Negativa
Un profe muy dedicado, siempre dispuesto a ayudar. ¡Se nota su pasión!;A veces la retroalimentación de las tareas podría ser más detallada.
Las clases son súper dinámicas y entretenidas. ¡Nunca me aburro!;En ocasiones, el ritmo de la clase puede ser un poco rápido.
Explica los contenidos de forma clara y con ejemplos prácticos. ¡Se agradece!;Sería bueno tener más tiempo para preguntas en algunas clases.
Se preocupa por que todos entendamos, pregunta y repasa si es necesario.;A veces las evaluaciones son en fechas muy seguidas con otras ramos.
El material de estudio es excelente y muy bien organizado.;Quizás se podrían incluir más lecturas complementarias.
Fomenta la participación y el debate en clases. ¡Eso es genial!;A veces algunos debates se extienden demasiado.
Es muy respetuoso con las opiniones de los estudiantes.;La comunicación por correo a veces tarda un poco en ser respondida.
Tiene mucha paciencia para responder nuestras dudas. ¡Gracias, profe!;Podría haber más ejemplos relacionados con la realidad chilena actual.
Se nota que domina muy bien la materia. ¡Aprendemos mucho!;A veces la conexión a internet durante la clase online no es la mejor.
Las evaluaciones son justas y acordes a lo que se enseña.;Sería útil tener las pautas de evaluación con más anticipación.
Un profesor excelente, motiva a seguir aprendiendo.;A veces las instrucciones de los trabajos no son del todo claras.
Su retroalimentación es muy útil para mejorar.;Podría haber más instancias de trabajo práctico en grupo.
Crea un ambiente de aprendizaje muy positivo y acogedor.;A veces la sala de clases es un poco fría.
Siempre está abierto a nuevas ideas y sugerencias.;Quizás se podrían explorar herramientas digitales más interactivas.
Se adapta a las necesidades del curso. ¡Eso es importante!;A veces los cambios en el programa se anuncian con poca anticipación.
Sus clases son muy bien estructuradas y fáciles de seguir.;Podría haber más variedad en los tipos de actividades evaluadas.
Utiliza recursos didácticos muy interesantes.;A veces los videos o presentaciones no se ven bien.
Es un profesor muy motivador, te impulsa a dar lo mejor de ti.;Sería bueno tener más instancias de tutorías personalizadas.
Se preocupa por nuestro bienestar como estudiantes.;A veces la carga de lectura es bastante alta.
Es muy cercano y accesible para conversar.;Quizás se podrían organizar salidas a terreno relacionadas con la materia.
Un gran profesor, de los mejores que he tenido.;A veces la exigencia en los trabajos es muy alta.
Hace que la materia parezca fácil e interesante.;Sería útil tener más ejercicios resueltos como ejemplo.
Siempre tiene una buena disposición para ayudarnos fuera de clases.;A veces los micrófonos no funcionan bien en las clases online.
Sus explicaciones son detalladas y comprensibles.;Podría haber más instancias para aplicar lo aprendido en clase.
Fomenta el pensamiento crítico en los estudiantes.;A veces las preguntas en las pruebas son un poco ambiguas.
Es muy organizado y cumple con los plazos.;Sería bueno tener acceso a las grabaciones de las clases online.
Se nota que le gusta enseñar y eso se transmite.;A veces la plataforma virtual no es muy intuitiva.
Sus clases son un espacio seguro para preguntar sin miedo.;Podría haber más instancias de autoevaluación.
Es un profesor inspirador, te deja con ganas de aprender más.;A veces la letra en las presentaciones es muy pequeña.
Las actividades propuestas son desafiantes y enriquecedoras.;Sería útil tener más claridad sobre los criterios de evaluación de los foros.
Un profesor muy comprometido con la enseñanza.;A veces los grupos de trabajo se forman de manera aleatoria y no funciona bien.
Su entusiasmo por la materia es contagioso.;Podría haber más instancias de retroalimentación oral en los trabajos.
Siempre está actualizado en su área de conocimiento.;A veces la iluminación de la sala no es la adecuada para ver la pizarra.
Es muy claro al explicar los objetivos de cada clase.;Sería bueno tener más recursos audiovisuales en algunas unidades.
Fomenta el trabajo en equipo y la colaboración.;A veces la distribución del tiempo en las clases no es la óptima.
Es justo y transparente en la evaluación.;Podría haber más instancias de coevaluación entre compañeros.
Se preocupa por nuestro desarrollo profesional.;A veces la exigencia de participación es un poco alta para algunos.
Es un profesor que marca la diferencia en la universidad.;Sería bueno tener más ejemplos prácticos aplicados a la realidad local.
Sus clases son dinámicas y participativas. ¡Así da gusto aprender!;A veces el ruido externo dificulta la concentración en clases presenciales.
Explica de manera sencilla conceptos complejos.;Podría haber más guías de ejercicios para practicar.
Siempre tiene tiempo para atender nuestras consultas individuales.;A veces la organización del semestre parece un poco desordenada.
El ambiente en sus clases es muy grato y respetuoso.;Sería bueno tener más instancias de discusión sobre temas de actualidad.
Es un profesor que realmente se preocupa por sus alumnos.;A veces los plazos de entrega de los trabajos son muy ajustados.
Sus clases son una excelente combinación de teoría y práctica.;Podría haber más actividades que fomenten la creatividad.
Motiva a la reflexión y al análisis de los contenidos.;A veces la metodología de enseñanza se siente un poco tradicional.
Es un profesor muy dedicado y apasionado por su trabajo.;Sería bueno tener más claridad sobre los criterios de corrección de las pruebas.
Sus explicaciones son tan buenas que los temas quedan muy claros.;A veces la temperatura en la sala de clases es incómoda.
Fomenta la autonomía y la responsabilidad en el aprendizaje.;Podría haber más instancias de aprendizaje basado en proyectos.
Es un profesor que deja una huella positiva en los estudiantes.;A veces la plataforma de entrega de trabajos falla.
¡Excelente profesor! Lo recomendaría sin dudarlo.;Sería útil tener un foro de discusión virtual para resolver dudas entre compañeros.
